,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,Person
70,35.0s - 35.5s,143,0.0035106597342657326,1187.3426573426573,89,89,1
71,35.5s - 36.0s,142,0.003510897690140847,1169.5633802816901,80,80,1
72,36.0s - 36.5s,141,0.003551523929078013,1193.3333333333333,83,83,1
73,36.5s - 37.0s,145,0.0034542968896551706,1179.5172413793102,93,93,1
74,37.0s - 37.5s,158,0.003169205348101266,1178.1708860759493,95,95,1
75,37.5s - 38.0s,153,0.003267962477124184,1186.3529411764705,93,93,1
76,38.0s - 38.5s,147,0.0034122478979591846,1173.639455782313,90,90,1
77,38.5s - 39.0s,147,0.003411650639455782,1164.2312925170068,89,89,1
78,39.0s - 39.5s,144,0.0034044824513888897,1197.5625,85,85,1
79,39.5s - 40.0s,130,0.003806718453846156,1174.2846153846153,74,74,1
80,40.0s - 40.5s,151,0.0034021484039735072,1180.2251655629138,97,97,1
81,40.5s - 41.0s,144,0.0034180716249999983,1197.5625,87,87,1
82,41.0s - 41.5s,142,0.0031610146830985913,1153.6971830985915,87,87,1
83,41.5s - 42.0s,157,0.0035689362929936298,1202.6687898089172,98,98,1
84,42.0s - 42.5s,147,0.0033688093877551006,1160.5578231292518,87,87,1
85,42.5s - 43.0s,150,0.0032859026066666673,1170.4133333333334,90,90,1
86,43.0s - 43.5s,136,0.003700094051470589,1186.7058823529412,83,83,1
87,43.5s - 44.0s,140,0.003604395542857142,1180.9714285714285,81,81,1
88,44.0s - 44.5s,147,0.003375241476190477,1162.4285714285713,89,89,1
89,44.5s - 45.0s,152,0.0032440535263157898,1172.6776315789473,91,91,1
90,45.0s - 45.5s,141,0.003425124914893614,1197.0,88,88,1
91,45.5s - 46.0s,137,0.003761076116788323,1211.2700729927008,81,81,1
92,46.0s - 46.5s,166,0.0029785190783132537,1152.05421686747,107,107,1
93,46.5s - 47.0s,155,0.0033354331161290322,1182.1870967741936,97,97,1
94,47.0s - 47.5s,150,0.003338850786666666,1188.6066666666666,88,88,1
95,47.5s - 48.0s,144,0.0034751674999999992,1182.0277777777778,86,86,1
96,48.0s - 48.5s,142,0.0034901770422535224,1203.3028169014085,87,87,1
97,48.5s - 49.0s,132,0.003826474909090909,1195.5075757575758,77,77,1
98,49.0s - 49.5s,153,0.0032691753333333328,1160.2418300653594,94,94,1
99,49.5s - 50.0s,152,0.003227996723684211,1132.75,90,90,1
100,50.0s - 50.5s,147,0.0034721054965986403,1200.938775510204,90,90,1
101,50.5s - 51.0s,140,0.0035745473785714276,1182.857142857143,79,79,1
102,51.0s - 51.5s,145,0.003453634620689655,1188.855172413793,92,92,1
103,51.5s - 52.0s,148,0.003380987486486486,1200.7905405405406,90,90,1
104,52.0s - 52.5s,147,0.0034035309183673462,1191.3061224489795,91,91,1
105,52.5s - 53.0s,137,0.003582921547445255,1179.9197080291972,78,78,1
106,53.0s - 53.5s,145,0.0034531326965517263,1182.1172413793104,88,88,1
107,53.5s - 54.0s,153,0.003274824993464053,1161.862745098039,94,94,1
108,54.0s - 54.5s,143,0.0035338647692307675,1181.0,85,85,1
109,54.5s - 55.0s,145,0.0033398992068965497,1161.2137931034483,90,90,1
110,55.0s - 55.5s,146,0.00350004540410959,1201.8835616438357,88,88,1
111,55.5s - 56.0s,140,0.003582680449999998,1174.9642857142858,88,88,1
112,56.0s - 56.5s,151,0.003303370662251655,1156.3245033112582,90,90,1
113,56.5s - 57.0s,140,0.0035108071357142874,1171.4285714285713,79,79,1
114,57.0s - 57.5s,158,0.003230638386075949,1157.246835443038,100,100,1
115,57.5s - 58.0s,148,0.00338021654054054,1188.0472972972973,88,88,1
116,58.0s - 58.5s,150,0.003337900593333334,1183.9933333333333,93,93,1
117,58.5s - 59.0s,140,0.0035701309428571412,1184.2785714285715,83,83,1
118,59.0s - 59.5s,151,0.0033234335629139062,1186.7549668874171,93,93,1
119,59.5s - 60.0s,149,0.003347432879194629,1174.1744966442952,88,88,1
120,60.0s - 60.5s,150,0.003343599133333333,1170.7066666666667,90,90,1
121,60.5s - 61.0s,140,0.0035693678999999963,1151.7285714285715,86,86,1
122,61.0s - 61.5s,141,0.003547981276595747,1160.290780141844,83,83,1
123,61.5s - 62.0s,156,0.0032124319294871795,1186.8589743589744,97,97,1
124,62.0s - 62.5s,151,0.003243411880794703,1189.1258278145694,95,95,1
125,62.5s - 63.0s,151,0.0033824859470198677,1188.8211920529802,87,87,1
126,63.0s - 63.5s,153,0.0032690429999999997,1178.921568627451,97,97,1
127,63.5s - 64.0s,137,0.003586830124087592,1171.3868613138686,79,79,1
128,64.0s - 64.5s,145,0.0034483518344827586,1200.5655172413792,88,88,1
129,64.5s - 65.0s,156,0.0032125919230769242,1146.974358974359,93,93,1
130,65.0s - 65.5s,134,0.003653231940298506,1177.3507462686566,79,79,1
131,65.5s - 66.0s,155,0.0032969457354838695,1175.8516129032257,95,95,1
132,66.0s - 66.5s,140,0.003569725992857143,1169.3285714285714,87,87,1
133,66.5s - 67.0s,149,0.0033703037986577184,1186.4228187919464,89,89,1
134,67.0s - 67.5s,146,0.0034198361780821917,1172.8150684931506,90,90,1
135,67.5s - 68.0s,147,0.003336718081632654,1190.843537414966,87,87,1
136,68.0s - 68.5s,140,0.003644803985714285,1172.75,83,83,1
137,68.5s - 69.0s,146,0.003424653342465754,1173.835616438356,88,88,1
138,69.0s - 69.5s,139,0.00360800118705036,1213.6762589928057,82,82,1
139,69.5s - 70.0s,151,0.0033083863443708604,1169.0927152317881,93,93,1
140,70.0s - 70.5s,146,0.0032935697191780852,1180.9246575342465,89,89,1
141,70.5s - 71.0s,149,0.0034895773691275187,1190.0805369127518,91,91,1
142,71.0s - 71.5s,139,0.0036000967913669044,1176.2877697841727,86,86,1
143,71.5s - 72.0s,148,0.0033825420810810816,1172.527027027027,90,90,1
144,72.0s - 72.5s,145,0.0033197005448275855,1166.8758620689655,91,91,1
145,72.5s - 73.0s,149,0.0034913987449664424,1196.3087248322147,90,90,1
146,73.0s - 73.5s,137,0.0035777225474452573,1186.1313868613138,82,82,1
147,73.5s - 74.0s,143,0.0035659805944055953,1186.4475524475524,87,87,1
148,74.0s - 74.5s,140,0.0033675074142857143,1191.4357142857143,83,83,1
149,74.5s - 75.0s,140,0.003670459178571432,1158.7571428571428,78,78,1
150,75.0s - 75.5s,136,0.0037197547352941173,1180.8823529411766,83,83,1
151,75.5s - 76.0s,158,0.003010289392405063,1205.1708860759493,98,98,1
152,76.0s - 76.5s,161,0.0032658760621118005,1156.9813664596272,100,100,1
153,76.5s - 77.0s,145,0.0034531792482758615,1165.1655172413793,87,87,1
154,77.0s - 77.5s,139,0.00360060371942446,1192.158273381295,86,86,1
155,77.5s - 78.0s,147,0.0034022587278911562,1196.7823129251701,90,90,1
156,78.0s - 78.5s,138,0.003266651202898551,1179.7028985507247,83,83,1
157,78.5s - 79.0s,159,0.0033965884088050296,1202.8993710691823,99,99,1
158,79.0s - 79.5s,151,0.003379770688741721,1180.271523178808,91,91,1
159,79.5s - 80.0s,154,0.0032528238376623385,1130.6298701298701,90,90,1
160,80.0s - 80.5s,140,0.0035728504428571427,1202.8642857142856,89,89,1
161,80.5s - 81.0s,151,0.0033148462450331108,1188.1258278145694,91,91,1
162,81.0s - 81.5s,149,0.0033586349597315443,1163.456375838926,89,89,1
163,81.5s - 82.0s,142,0.0034972967323943656,1186.4788732394366,86,86,1
164,82.0s - 82.5s,154,0.003274095636363636,1188.6168831168832,96,96,1
165,82.5s - 83.0s,143,0.0035006901958041944,1200.7062937062938,91,91,1
166,83.0s - 83.5s,149,0.003359391208053693,1168.523489932886,87,87,1
167,83.5s - 84.0s,155,0.003228712619354839,1166.141935483871,92,92,1
168,84.0s - 84.5s,150,0.003337214133333333,1190.46,91,91,1
169,84.5s - 85.0s,143,0.0034284597202797196,1167.167832167832,86,86,1
170,85.0s - 85.5s,148,0.003388386918918919,1160.6013513513512,86,86,1
171,85.5s - 86.0s,138,0.0036192140869565205,1178.2028985507247,78,78,1
172,86.0s - 86.5s,149,0.0033586068255033563,1177.221476510067,92,92,1
173,86.5s - 87.0s,145,0.003385909972413793,1186.6137931034482,89,89,1
174,87.0s - 87.5s,154,0.0033135746818181815,1176.6883116883116,92,92,1
175,87.5s - 88.0s,148,0.003379713635135136,1187.3175675675675,91,91,1
176,88.0s - 88.5s,136,0.0036094601323529395,1178.6838235294117,81,81,1
177,88.5s - 89.0s,154,0.0033181970259740265,1167.9805194805194,93,93,1
178,89.0s - 89.5s,134,0.0037294460671641796,1193.7014925373135,80,80,1
179,89.5s - 90.0s,140,0.00358168672142857,1165.6785714285713,80,80,1
180,90.0s - 90.5s,151,0.0032426618807947015,1221.5430463576158,95,95,1
181,90.5s - 91.0s,151,0.0033815013443708607,1180.5761589403974,91,91,1
182,91.0s - 91.5s,145,0.0034546249172413795,1168.9448275862069,93,93,1
183,91.5s - 92.0s,147,0.0033977744829931976,1196.0680272108843,88,88,1
184,92.0s - 92.5s,140,0.003555370785714287,1190.0642857142857,85,85,1
185,92.5s - 93.0s,142,0.0035520726197183104,1174.6549295774648,85,85,1
186,93.0s - 93.5s,146,0.0033707530205479455,1181.0753424657535,91,91,1
187,93.5s - 94.0s,132,0.0038455666590909085,1197.75,82,82,1
188,94.0s - 94.5s,150,0.003272930646666663,1177.52,92,92,1
189,94.5s - 95.0s,151,0.0033822670993377464,1146.7549668874171,87,87,1
190,95.0s - 95.5s,147,0.0033416974625850313,1188.2380952380952,91,91,1
191,95.5s - 96.0s,144,0.003524815430555556,1160.2083333333333,82,82,1
192,96.0s - 96.5s,153,0.0032144083921568636,1185.359477124183,93,93,1
193,96.5s - 97.0s,147,0.003405109469387755,1161.5102040816328,89,89,1
194,97.0s - 97.5s,140,0.003575589985714286,1184.7857142857142,83,83,1
195,97.5s - 98.0s,139,0.0036012492230215825,1177.179856115108,84,84,1
196,98.0s - 98.5s,141,0.0035525156950354606,1189.4113475177305,86,86,1
197,98.5s - 99.0s,158,0.0031925764113924044,1157.246835443038,99,99,1
198,99.0s - 99.5s,144,0.0034450584305555556,1170.2083333333333,87,87,1
199,99.5s - 100.0s,151,0.0033140361920529797,1182.317880794702,90,90,1
200,100.0s - 100.5s,137,0.003662892218978102,1199.2408759124087,80,80,1
201,100.5s - 101.0s,150,0.0033295555599999983,1221.1933333333334,97,97,1
202,101.0s - 101.5s,148,0.0033860068986486464,1163.472972972973,85,85,1
203,101.5s - 102.0s,148,0.003374064108108109,1173.1418918918919,91,91,1
204,102.0s - 102.5s,151,0.0033206234635761596,1122.476821192053,83,83,1
205,102.5s - 103.0s,138,0.003619479434782609,1203.1521739130435,85,85,1
206,103.0s - 103.5s,154,0.0032039284155844167,1182.4675324675325,92,92,1
207,103.5s - 104.0s,137,0.003675193401459855,1155.6861313868612,79,79,1
208,104.0s - 104.5s,139,0.00356965661151079,1214.36690647482,86,86,1
209,104.5s - 105.0s,158,0.003220525835443038,1179.4177215189873,96,96,1
210,105.0s - 105.5s,142,0.003459048387323944,1209.8661971830986,87,87,1
211,105.5s - 106.0s,146,0.0034924959109589038,1181.1712328767123,88,88,1
212,106.0s - 106.5s,139,0.0035312668129496402,1147.3812949640287,79,79,1
213,106.5s - 107.0s,145,0.003447523082758619,1188.510344827586,90,90,1
214,107.0s - 107.5s,138,0.0036355283333333334,1186.159420289855,82,82,1
215,107.5s - 108.0s,156,0.003200613564102563,1168.7884615384614,93,93,1
216,108.0s - 108.5s,138,0.003626479471014492,1203.623188405797,81,81,1
217,108.5s - 109.0s,142,0.0035259446549295755,1181.9577464788733,86,86,1
218,109.0s - 109.5s,146,0.0034318108356164367,1149.2808219178082,87,87,1
219,109.5s - 110.0s,152,0.0032234977368421035,1148.0263157894738,91,91,1
220,110.0s - 110.5s,153,0.003335899620915032,1183.326797385621,91,91,1
221,110.5s - 111.0s,129,0.0038780356511627927,1158.3100775193798,74,74,1
222,111.0s - 111.5s,159,0.003154113704402514,1174.0125786163521,96,96,1
223,111.5s - 112.0s,141,0.003543800269503546,1195.5744680851064,85,85,1
224,112.0s - 112.5s,146,0.0034272021986301365,1203.164383561644,88,88,1
225,112.5s - 113.0s,140,0.0035124304642857158,1180.7,83,83,1
226,113.0s - 113.5s,146,0.003487702910958904,1159.2602739726028,90,90,1
227,113.5s - 114.0s,137,0.0035819126934306575,1159.6350364963503,83,83,1
228,114.0s - 114.5s,149,0.003367106248322147,1177.6040268456377,89,89,1
229,114.5s - 115.0s,132,0.003706388712121213,1183.4772727272727,77,77,1
230,115.0s - 115.5s,151,0.0034501580596026492,1196.271523178808,93,93,1
231,115.5s - 116.0s,144,0.003469627145833333,1181.111111111111,86,86,1
232,116.0s - 116.5s,139,0.0036012403021582723,1172.3093525179856,85,85,1
233,116.5s - 117.0s,148,0.0033558171486486486,1189.1283783783783,88,88,1
234,117.0s - 117.5s,160,0.0030879873500000003,1148.0125,99,99,1
235,117.5s - 118.0s,140,0.003432467257142857,1168.857142857143,83,83,1
236,118.0s - 118.5s,152,0.003430410355263159,1146.532894736842,90,90,1
237,118.5s - 119.0s,120,0.0041238533833333315,1161.6583333333333,67,67,1
238,119.0s - 119.5s,154,0.0032801380454545457,1211.1818181818182,99,99,1
239,119.5s - 120.0s,145,0.00338210423448276,1165.551724137931,87,87,1
240,120.0s - 120.5s,136,0.0037669069632352958,1168.8970588235295,75,75,1
241,120.5s - 121.0s,144,0.0034686965694444454,1140.375,85,85,1
242,121.0s - 121.5s,142,0.003455576718309859,1172.7957746478874,83,83,1
243,121.5s - 122.0s,144,0.0035402331944444456,1195.875,83,83,1
244,122.0s - 122.5s,142,0.0035235655352112674,1174.1267605633802,84,84,1
245,122.5s - 123.0s,145,0.003449820034482757,1176.3517241379311,88,88,1
246,123.0s - 123.5s,153,0.0032077668627450975,1179.7581699346406,95,95,1
247,123.5s - 124.0s,144,0.003548093187499999,1167.1666666666667,85,85,1
248,124.0s - 124.5s,144,0.0034030374861111095,1174.8125,91,91,1
249,124.5s - 125.0s,137,0.003695638109489048,1158.5474452554745,81,81,1
250,125.0s - 125.5s,149,0.003349891677852351,1177.8791946308725,89,89,1
251,125.5s - 126.0s,136,0.00366972256617647,1183.0073529411766,81,81,1
252,126.0s - 126.5s,155,0.0032752506516129033,1163.141935483871,93,93,1
253,126.5s - 127.0s,131,0.0038187078167938927,1166.8473282442749,74,74,1
254,127.0s - 127.5s,145,0.003386229475862069,1166.9793103448276,88,88,1
255,127.5s - 128.0s,125,0.003997388111999999,1160.512,71,71,1
256,128.0s - 128.5s,105,0.004805937590476191,1081.7238095238095,48,48,1
257,128.5s - 129.0s,153,0.0032461834313725502,1186.575163398693,93,93,1
258,129.0s - 129.5s,151,0.003315194589403973,1174.841059602649,90,90,1
259,129.5s - 130.0s,147,0.0033382191224489797,1177.3333333333333,89,89,1
260,130.0s - 130.5s,143,0.00356978697202797,1187.7062937062938,87,87,1
261,130.5s - 131.0s,142,0.0033830808591549283,1179.5211267605634,87,87,1
262,131.0s - 131.5s,115,0.004523807895652174,1134.1913043478262,57,57,1
263,131.5s - 132.0s,148,0.0033794572094594582,1189.1418918918919,92,92,1
264,132.0s - 132.5s,140,0.0035748057071428555,1123.0785714285714,80,80,1
265,132.5s - 133.0s,106,0.004743896971698114,1153.698113207547,48,48,1
266,133.0s - 133.5s,126,0.003953433166666666,1115.4285714285713,67,67,1
267,133.5s - 134.0s,154,0.003248744311688311,1175.8831168831168,96,96,1
268,134.0s - 134.5s,129,0.003879573751937987,1163.2015503875969,72,72,1
269,134.5s - 135.0s,138,0.0034547879057971044,1193.2101449275362,83,83,1
270,135.0s - 135.5s,138,0.0037698960289855054,1175.623188405797,77,77,1
271,135.5s - 136.0s,131,0.0033852563511450385,1173.7557251908397,80,80,1
272,136.0s - 136.5s,176,0.0031323837784090927,1165.1818181818182,115,115,1
273,136.5s - 137.0s,159,0.0031494257924528308,1176.1761006289307,99,99,1
274,137.0s - 137.5s,142,0.003535075838028168,1198.9014084507041,86,86,1
275,137.5s - 138.0s,144,0.003300578770833334,1153.1944444444443,87,87,1
276,138.0s - 138.5s,151,0.003406359748344372,1180.1854304635763,91,91,1
277,138.5s - 139.0s,139,0.0036764113093525168,1181.568345323741,84,84,1
278,139.0s - 139.5s,124,0.0038231363870967748,1204.8870967741937,72,72,0
279,139.5s - 140.0s,140,0.003760435664285714,1145.3642857142856,80,80,0
280,140.0s - 140.5s,136,0.0036848702426470594,1078.2279411764705,72,72,0
281,140.5s - 141.0s,83,0.005413477807228916,970.3373493975904,27,27,0
282,141.0s - 141.5s,97,0.005590823061855668,968.9587628865979,31,31,0
283,141.5s - 142.0s,92,0.0054299921304347834,999.4673913043479,29,29,0
284,142.0s - 142.5s,91,0.00537818085714286,953.8131868131868,30,30,0
285,142.5s - 143.0s,93,0.0055338713333333315,996.2258064516129,26,26,0
286,143.0s - 143.5s,95,0.005368210947368423,952.7578947368421,25,25,0
287,143.5s - 144.0s,77,0.005813178688311688,977.6623376623377,17,17,0
288,144.0s - 144.5s,121,0.004551781099173553,1122.1322314049587,53,53,0
289,144.5s - 145.0s,165,0.003028381375757575,1184.2060606060606,98,98,0
290,145.0s - 145.5s,157,0.0031219373439490437,1159.2611464968154,90,90,0
291,145.5s - 146.0s,149,0.0034289709463087227,1214.979865771812,89,89,0
292,146.0s - 146.5s,156,0.0031398584743589737,1177.474358974359,93,93,0
293,146.5s - 147.0s,144,0.003545874951388887,1147.4444444444443,84,84,0
294,147.0s - 147.5s,161,0.0031130896024844715,1148.3850931677018,90,90,0
295,147.5s - 148.0s,149,0.0032925771409395973,1169.0604026845638,81,81,0
296,148.0s - 148.5s,160,0.0031855008687500007,1179.20625,93,93,0
297,148.5s - 149.0s,144,0.0034587641388888874,1203.263888888889,88,88,0
298,149.0s - 149.5s,135,0.0036788891851851848,1172.1037037037038,69,69,0
299,149.5s - 150.0s,160,0.0030427754250000006,1182.46875,96,96,0
300,150.0s - 150.5s,143,0.003570233083916085,1144.4825174825176,76,76,0
301,150.5s - 151.0s,152,0.003313860328947368,1181.0,91,91,0
302,151.0s - 151.5s,159,0.0031297838364779873,1169.2704402515724,95,95,0
303,151.5s - 152.0s,110,0.004218261772727273,1095.5727272727272,52,52,0
304,152.0s - 152.5s,92,0.005867191239130434,954.8260869565217,26,26,0
305,152.5s - 153.0s,79,0.006169647341772152,1000.6455696202531,14,14,0
306,153.0s - 153.5s,100,0.00511107845,1105.69,39,39,0
307,153.5s - 154.0s,113,0.0043654227876106155,1105.1592920353983,48,48,0
308,154.0s - 154.5s,158,0.0032072367531645546,1201.6772151898733,92,92,0
309,154.5s - 155.0s,147,0.003334494108843538,1119.7755102040817,80,80,0
310,155.0s - 155.5s,101,0.005057940346534653,1039.1089108910892,40,40,0
311,155.5s - 156.0s,99,0.005064485333333331,1075.040404040404,30,30,0
312,156.0s - 156.5s,96,0.005173755645833333,985.8541666666666,35,35,0
313,156.5s - 157.0s,88,0.005713322250000002,954.6477272727273,26,26,0
314,157.0s - 157.5s,121,0.004144959338842974,1124.0826446280992,54,54,0
315,157.5s - 158.0s,108,0.004257814666666667,1121.5925925925926,48,48,0
316,158.0s - 158.5s,101,0.005349948118811883,1025.3168316831684,34,34,0
317,158.5s - 159.0s,107,0.00458846521495327,1048.5420560747664,43,43,0
318,159.0s - 159.5s,136,0.0037440051985294133,1138.235294117647,71,71,0
319,159.5s - 160.0s,158,0.0031184043101265832,1206.8227848101267,95,95,0
320,160.0s - 160.5s,164,0.003042817963414633,1196.7012195121952,99,99,0
321,160.5s - 161.0s,152,0.0033077916578947387,1190.3092105263158,88,88,0
322,161.0s - 161.5s,163,0.003062939478527606,1184.6564417177915,100,100,0
323,161.5s - 162.0s,130,0.0038418558461538435,1119.2384615384615,66,66,0
324,162.0s - 162.5s,158,0.0031690358354430396,1179.6645569620252,90,90,0
325,162.5s - 163.0s,151,0.003311971966887417,1144.3774834437086,87,87,0
326,163.0s - 163.5s,125,0.0040051209600000005,1128.328,58,58,0
327,163.5s - 164.0s,154,0.003255139272727273,1209.1688311688313,91,91,0
328,164.0s - 164.5s,155,0.0032250698580645176,1172.6967741935484,92,92,0
329,164.5s - 165.0s,157,0.003187997121019108,1176.2993630573249,95,95,0
330,165.0s - 165.5s,124,0.0039908832419354836,1139.3629032258063,61,61,0
331,165.5s - 166.0s,131,0.003862330030534352,1141.4045801526718,63,63,0
332,166.0s - 166.5s,128,0.0038339115390624997,1086.3671875,65,65,0
333,166.5s - 167.0s,94,0.005429175148936171,1076.4787234042553,28,28,0
334,167.0s - 167.5s,108,0.004648387046296297,1127.0462962962963,46,46,0
335,167.5s - 168.0s,139,0.0035872972230215814,1170.5611510791366,79,79,0
336,168.0s - 168.5s,135,0.003708729377777777,1164.8296296296296,66,66,0
337,168.5s - 169.0s,103,0.004829710912621359,1020.1553398058253,37,37,0
338,169.0s - 169.5s,77,0.006342859597402597,1046.3896103896104,17,17,0
339,169.5s - 170.0s,87,0.005807770080459769,983.3333333333334,18,18,0
340,170.0s - 170.5s,95,0.0052680019578947345,1064.0736842105264,29,29,0
341,170.5s - 171.0s,145,0.003451827303448276,1202.2551724137932,82,82,0
342,171.0s - 171.5s,107,0.004714233485981307,1099.9532710280373,44,44,0
343,171.5s - 172.0s,82,0.006121766597560976,1005.6951219512196,17,17,0
344,172.0s - 172.5s,78,0.006128225538461538,1024.8333333333333,12,12,0
345,172.5s - 173.0s,99,0.0052601151818181795,1027.6666666666667,38,38,0
346,173.0s - 173.5s,100,0.005019215979999998,987.72,33,33,0
347,173.5s - 174.0s,96,0.005166887187499999,1061.25,35,35,0
348,174.0s - 174.5s,87,0.005739755149425288,972.8850574712644,25,25,0
349,174.5s - 175.0s,85,0.0059446482823529425,1002.4705882352941,21,21,0
350,175.0s - 175.5s,116,0.004257335465517243,1088.7758620689656,49,49,0
351,175.5s - 176.0s,143,0.0034525485594405613,1164.2517482517483,81,81,0
352,176.0s - 176.5s,100,0.005038097,1158.86,37,37,0
353,176.5s - 177.0s,93,0.005339860720430108,999.3978494623656,29,29,0
354,177.0s - 177.5s,104,0.004808928336538462,1014.8365384615385,39,39,0
